player_id,league_id,team_id,gp,gs,min,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts
201977,00,0,10,0,124,21,54,0.388888,5,21,0.238095,12,18,0.666666,7,12,19,1,2,1,2,4,59
201979,00,0,10,3,126,12,36,0.333333,6,13,0.461538,3,8,0.375,1,15,16,16,9,1,10,15,33
201980,00,0,153,147,3911,438,1082,0.404805,283,732,0.386612,73,97,0.752577,105,392,497,189,162,120,128,317,1232
201985,00,0,9,0,87,14,37,0.378378,7,16,0.4375,9,10,0.9,3,6,9,7,3,0,7,5,44
201986,00,0,6,0,18,1,4,0.25,0,3,0,2,2,1,2,3,5,2,0,0,0,3,4
201988,00,0,90,11,1443,216,503,0.429423,115,303,0.379537,60,75,0.8,17,117,134,152,50,4,66,111,607
201991,00,0,7,0,38,6,14,0.428571,2,7,0.285714,0,0,0,0,1,1,7,2,1,3,8,14
202066,00,0,30,4,250,24,71,0.338028,12,50,0.24,18,25,0.72,2,21,23,13,9,2,14,30,78
202083,00,0,52,47,1648,185,474,0.390295,86,255,0.337254,112,137,0.817518,34,116,150,62,56,16,63,147,568
202087,00,0,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
202178,00,0,5,0,7,5,6,0.833333,1,1,1,0,2,0,1,1,2,0,0,0,0,1,11
202227,00,0,4,0,10,1,2,0.5,0,1,0,3,4,0.75,0,3,3,0,0,0,0,0,5
202322,00,0,37,37,1433,286,682,0.419354,35,131,0.267175,203,247,0.821862,20,139,159,364,64,41,145,84,810
202323,00,0,63,27,1483,174,468,0.371794,21,59,0.355932,88,115,0.765217,49,268,317,161,43,19,93,121,457
202324,00,0,40,14,863,131,224,0.584821,2,8,0.25,62,113,0.548672,83,151,234,32,26,42,29,87,326
202325,00,0,9,0,88,5,14,0.357142,3,9,0.333333,4,5,0.8,5,15,20,2,2,4,2,8,17
202326,00,0,10,5,148,26,63,0.412698,4,15,0.266666,17,26,0.653846,9,37,46,19,5,7,21,29,73
202327,00,0,16,0,93,6,14,0.428571,0,0,0,0,4,0,4,8,12,1,2,4,1,9,12
202328,00,0,27,1,335,62,129,0.48062,1,4,0.25,47,61,0.770491,45,65,110,19,15,8,29,36,172
202329,00,0,40,33,1165,155,357,0.434173,70,179,0.391061,72,97,0.742268,83,210,293,56,34,34,58,97,452
202330,00,0,29,16,957,138,341,0.404692,45,128,0.351562,113,119,0.949579,15,119,134,85,26,8,48,53,434
202331,00,0,100,100,3889,663,1571,0.422024,237,665,0.35639,499,602,0.828903,98,627,725,399,154,55,309,335,2062
202332,00,0,11,0,102,14,24,0.583333,0,0,0,5,10,0.5,13,30,43,3,6,3,2,14,33
202334,00,0,33,0,389,41,82,0.5,0,2,0,25,44,0.568181,47,105,152,16,3,13,18,58,107
